Model,Best_Parameters,CV_Score
LogisticRegression,"{
  ""C"": 100,
  ""max_iter"": 100,
  ""solver"": ""lbfgs""
}",0.9873
DecisionTree,"{
  ""criterion"": ""gini"",
  ""max_depth"": null,
  ""min_samples_leaf"": 1,
  ""min_samples_split"": 5
}",0.982
SVM,"{
  ""C"": 10,
  ""gamma"": ""scale"",
  ""kernel"": ""linear""
}",0.9883
KNN,"{
  ""metric"": ""manhattan"",
  ""n_neighbors"": 3,
  ""weights"": ""distance""
}",0.9624
RandomForest,"{
  ""max_depth"": null,
  ""max_features"": ""sqrt"",
  ""min_samples_leaf"": 1,
  ""min_samples_split"": 10,
  ""n_estimators"": 50
}",0.988
StackingClassifier,"{
  ""estimators"": ""LR+DT+RF"",
  ""final_estimator"": ""SVC(linear)""
}",0.0
